INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222015450,2905,,VAL - VIOLATION OF AUTO LAW,C11,355,0,2022-03-04 20:44:00,2022,3,Friday,20,,ADAMS STREET,0.0,0.0,"(0, 0)"
222010362,3115,,INVESTIGATE PERSON,E5, ,0,2022-02-12 14:38:00,2022,2,Saturday,14,,WASHINGTON ST,42.275817991609685,-71.13991259250876,"(42.275817991609685, -71.13991259250876)"
222008913,3115,,INVESTIGATE PERSON,B2, ,0,2022-02-07 11:30:00,2022,2,Monday,11,,ALBANY ST,42.33076941683259,-71.07766482167878,"(42.33076941683259, -71.07766482167878)"
222009303,520,,BURGLARY - RESIDENTIAL,C11,402,0,2022-02-08 18:11:00,2022,2,Tuesday,18,,FULLER ST,42.28248068112607,-71.06981187279438,"(42.28248068112607, -71.06981187279438)"
222002208,3803,,M/V ACCIDENT - PERSONAL INJURY,D4, ,0,2022-01-11 15:30:00,2022,1,Tuesday,15,,VILLAGE CT,42.34569316397339,-71.06857257428283,"(42.34569316397339, -71.06857257428283)"
222002325,3106,,PROPERTY - ACCIDENTAL DAMAGE,C6, ,0,2022-01-11 14:00:00,2022,1,Tuesday,14,,H ST,42.33322293022379,-71.04147461765224,"(42.33322293022379, -71.04147461765224)"
222014778,613,,LARCENY SHOPLIFTING,A1, ,0,2022-03-02 13:14:00,2022,3,Wednesday,13,,WASHINGTON ST,42.35591934853282,-71.06000538982026,"(42.35591934853282, -71.06000538982026)"
222000538,3115,,INVESTIGATE PERSON,D4,591,0,2022-01-02 20:33:00,2022,1,Sunday,20,,HEMENWAY ST,42.344280822999686,-71.08982187623624,"(42.344280822999686, -71.08982187623624)"
222001424,3201,,PROPERTY - LOST/ MISSING,A1,102,0,2022-01-07 12:00:00,2022,1,Friday,12,,WINTER ST,42.35602373388715,-71.06177615141588,"(42.35602373388715, -71.06177615141588)"
222012946,3115,,INVESTIGATE PERSON,B3, ,0,2022-02-22 19:35:00,2022,2,Tuesday,19,,CLARKWOOD ST,42.28013735316638,-71.09079825676984,"(42.28013735316638, -71.09079825676984)"
222002726,3301,,VERBAL DISPUTE,E18,540,0,2022-01-13 17:06:00,2022,1,Thursday,17,,ELLIS ST,42.24950363669442,-71.13165831384025,"(42.24950363669442, -71.13165831384025)"
222024633,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3, ,0,2022-04-08 14:20:00,2022,4,Friday,14,,"BLUE HILL AVE & ANGELL ST
DORCHESTER  MA 02124
UNI",42.29531003325286,-71.08788897126702,"(42.29531003325286, -71.08788897126702)"
222021113,3115,,INVESTIGATE PERSON,B2, ,0,2022-03-26 13:01:00,2022,3,Saturday,13,,CRAWFORD ST,42.31663836046697,-71.09171042507315,"(42.31663836046697, -71.09171042507315)"
222019603,3115,,INVESTIGATE PERSON,A7,23,0,2022-03-20 22:50:00,2022,3,Sunday,22,,PRINCETON ST,42.37765999473733,-71.03560198037273,"(42.37765999473733, -71.03560198037273)"
222017968,3114,,INVESTIGATE PROPERTY,B2, ,0,2022-03-14 20:18:00,2022,3,Monday,20,,EDGEWOOD ST,42.31759956837106,-71.07891328136353,"(42.31759956837106, -71.07891328136353)"
222002819,3115,,INVESTIGATE PERSON,D4, ,0,2022-01-13 22:42:00,2022,1,Thursday,22,,HARRISON AVE,42.3449342783627,-71.06366373548889,"(42.3449342783627, -71.06366373548889)"
222016207,3115,,INVESTIGATE PERSON,C11, ,0,2022-03-07 21:46:00,2022,3,Monday,21,,CORONA ST,42.30097791342438,-71.07077332565322,"(42.30097791342438, -71.07077332565322)"
